,DriverNumber,Season,RoundNumber,TeamName,Position,QualiPosition,FastestTime,LastFinish,RollingAverage3,RollingStd3,Delta
434,81,2025,4,McLaren,1.0,1.0,89.841,3.0,4.333333333333333,4.163331998932265,0.0
435,81,2025,5,McLaren,1.0,2.0,87.304,1.0,1.6666666666666667,1.15470053837925,0.0100000000000051
436,81,2025,6,McLaren,1.0,4.0,86.269,1.0,1.6666666666666667,1.15470053837925,0.0650000000000119
437,81,2025,7,McLaren,3.0,1.0,74.67,1.0,1.0,0.0,0.0
438,81,2025,8,McLaren,3.0,3.0,70.129,3.0,1.6666666666666667,1.1547005383792497,0.1750000000000113
439,81,2025,9,McLaren,1.0,1.0,71.546,3.0,2.333333333333333,1.15470053837925,0.0
440,81,2025,10,McLaren,4.0,3.0,71.12,1.0,2.333333333333333,1.15470053837925,0.2210000000000036
441,81,2025,11,McLaren,2.0,3.0,64.554,4.0,2.6666666666666665,1.5275252316519454,0.5830000000000055
442,81,2025,12,McLaren,2.0,2.0,84.995,2.0,2.333333333333333,1.5275252316519454,0.1030000000000086
443,81,2025,13,McLaren,1.0,2.0,100.626,2.0,2.6666666666666665,1.1547005383792497,0.0640000000000071
444,81,2025,14,McLaren,2.0,2.0,74.941,1.0,1.6666666666666667,0.577350269189622,0.0510000000000019
445,81,2025,15,McLaren,1.0,1.0,68.662,2.0,1.6666666666666667,0.577350269189622,0.0
446,81,2025,16,McLaren,3.0,3.0,78.982,1.0,1.3333333333333333,0.5773502691896218,0.1899999999999977
447,81,2025,17,McLaren,20.0,9.0,101.414,3.0,2.0,0.9999999999999978,0.296999999999997
448,81,2025,18,McLaren,4.0,3.0,89.524,20.0,8.0,10.44030650891055,0.3659999999999996
449,81,2025,19,McLaren,5.0,6.0,93.084,4.0,9.0,9.539392014169456,0.5739999999999981
450,81,2025,20,McLaren,5.0,8.0,76.174,5.0,9.666666666666666,8.962886439832502,0.5880000000000081
451,81,2025,21,McLaren,5.0,4.0,69.835,5.0,4.666666666666667,0.5773502691896137,0.323999999999998
452,81,2025,22,McLaren,20.0,5.0,108.961,5.0,5.0,0.0,1.027000000000001
453,81,2025,23,McLaren,2.0,1.0,79.387,20.0,10.0,8.660254037844387,0.0
454,81,2025,24,McLaren,2.0,3.0,82.437,2.0,9.0,9.643650760992957,0.2300000000000039
455,87,2025,1,Haas F1 Team,14.0,20.0,,10.0,14.0,0.0,
456,87,2025,2,Haas F1 Team,8.0,17.0,92.018,14.0,14.0,0.0,1.3769999999999951
457,87,2025,3,Haas F1 Team,10.0,10.0,87.711,8.0,11.0,4.242640687119285,0.7279999999999944
458,87,2025,4,Haas F1 Team,10.0,20.0,92.373,10.0,10.666666666666666,3.055050463303893,2.5320000000000107
459,87,2025,5,Haas F1 Team,13.0,15.0,88.536,10.0,9.333333333333334,1.15470053837925,1.2420000000000044
460,87,2025,6,Haas F1 Team,20.0,20.0,87.999,13.0,11.0,1.732050807568876,1.7950000000000017
461,87,2025,7,Haas F1 Team,17.0,19.0,76.077,20.0,14.333333333333334,5.131601439446884,1.4069999999999965
462,87,2025,8,Haas F1 Team,12.0,17.0,71.979,17.0,16.666666666666668,3.511884584284245,2.0250000000000057
463,87,2025,9,Haas F1 Team,17.0,15.0,73.074,12.0,16.333333333333332,4.041451884327379,1.5279999999999916
464,87,2025,10,Haas F1 Team,11.0,14.0,72.306,17.0,15.333333333333334,2.886751345948125,1.4069999999999965
465,87,2025,11,Haas F1 Team,11.0,15.0,65.218,11.0,13.333333333333334,3.2145502536643145,1.247000000000007
466,87,2025,12,Haas F1 Team,11.0,8.0,85.471,11.0,13.0,3.4641016151377504,0.5790000000000077
467,87,2025,13,Haas F1 Team,11.0,12.0,101.617,11.0,11.0,0.0,1.0550000000000068
